Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
613,Patrick Cutrone,ITA,FW,Empoli,Serie A,24.0,1998,28,15,1401,15.6,0.19,3.27,0.96,29.4,0.06,0.2,15.2,0.0,0.0,0.0,11.0,16.2,68.0,176.1,35.1,6.15,7.88,78.0,3.65,5.13,71.3,0.96,1.73,55.6,0.0,0.58,0.51,0.45,0.06,1.03,16.2,14.7,1.54,0.06,0.0,3.97,0.38,1.28,0.0,0.0,0.0,0.0,11.4,2.5,2.31,2.69,12.1,0.51,0.19,0.38,11.0,0.06,0.26,0.77,1.22,1.54,1.22,0.0,0.06,0.0,0.06,0.19,0.19,0.13,0.0,0.0,0.0,0.06,0.0,0.51,0.45,0.19,0.13,0.19,0.13,0.32,40.0,0.19,14.2,3.01,21.3,1.41,5.96,6.79,0.71,0.13,0.0,0.58,0.51,1.03,0.19,0.0,26.7,0.38,1.6,9.74,17.1,6.15,25.3,0.64,1.67,38.5,0.71,0.0,18.3,98.5,41.6,2.69,0.38,0.71,2.44,0.96,38.5,19.4,50.2,8.21,0.06,0.0,0.0,0.9,1.22,1.28,1.28,0.45,0.06,0.0,0.0,3.14,0.71,2.76,20.4
1403,Aleksandr Kokorin,RUS,FWMF,Fiorentina,Serie A,31.0,1991,6,0,55,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,43.3,65.4,461.7,55.0,18.3,26.7,68.8,6.67,10.0,66.7,3.33,5.0,66.7,0.0,0.0,0.0,0.0,0.0,1.67,43.3,41.7,1.67,0.0,0.0,15.0,1.67,0.0,0.0,0.0,0.0,0.0,26.7,6.67,10.0,3.33,28.3,3.33,0.0,1.67,28.3,0.0,1.67,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,0.0,0.0,1.67,1.67,100.0,0.0,18.3,5.0,27.3,3.33,5.0,10.0,1.67,0.0,0.0,1.67,0.0,1.67,0.0,0.0,58.3,0.0,3.33,31.7,25.0,5.0,56.7,3.33,5.0,66.7,3.33,0.0,43.3,165.0,26.7,3.33,0.0,1.67,10.0,0.0,83.3,51.7,62.0,13.3,1.67,0.0,0.0,3.33,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,8.33,8.33,50.0
2229,David Raya,ESP,GK,Brentford,Premier League,26.0,1995,24,24,2160,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,43.8,67.1,1020.9,679.5,4.08,4.08,100.0,11.8,12.0,97.9,13.4,27.5,48.9,0.0,0.04,1.5,0.04,0.0,0.13,43.8,32.1,11.7,3.33,0.0,3.33,2.08,0.0,0.0,0.0,0.0,0.0,18.0,1.38,24.4,3.21,32.4,0.08,0.0,4.83,29.4,0.25,1.58,0.75,0.17,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.04,46.3,37.3,45.3,1.21,0.0,0.0,34.7,0.0,0.0,0.0,0.0,0.0,22.5,115.8,56.5,0.04,0.0,0.0,0.08,0.0,23.0,22.9,99.8,0.0,0.04,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.0,0.04,0.0,5.25,0.0,0.0,0.0
676,Jason Denayer,BEL,DF,Lyon,Ligue 1,26.0,1995,15,12,1002,11.1,0.27,0.54,0.36,66.7,0.5,0.75,6.8,0.0,0.0,0.0,62.9,66.6,94.5,1354.6,371.2,18.1,18.8,96.2,33.1,34.2,96.6,11.3,13.0,86.8,0.0,0.09,1.71,0.0,0.0,1.8,66.6,64.3,2.25,1.98,0.0,5.14,1.98,0.09,0.0,0.0,0.0,0.0,57.6,3.69,5.32,2.88,60.2,1.98,0.27,0.18,62.9,0.09,0.27,0.63,0.09,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.54,0.72,0.27,0.0,0.54,0.72,75.0,0.18,7.03,2.25,32.1,3.6,3.33,0.09,1.89,0.9,0.09,0.99,1.62,2.61,4.05,0.09,75.9,11.0,43.4,35.6,1.08,0.72,73.7,0.09,0.27,33.3,0.18,0.0,52.0,218.9,100.5,1.35,0.0,0.0,0.09,0.18,58.3,57.0,97.8,0.0,0.18,0.0,0.0,0.72,0.45,0.0,0.09,0.54,0.0,0.09,0.0,6.67,1.62,1.89,46.2
2855,Hannes Wolf,AUT,FWMF,M'Gladbach,Bundesliga,23.0,1999,7,2,307,3.4,0.0,1.76,0.59,33.3,0.0,0.0,18.7,0.29,0.0,0.0,21.8,30.9,70.5,294.4,84.1,13.8,16.8,82.5,6.76,9.41,71.9,0.59,2.35,25.0,0.0,0.29,0.29,0.59,0.29,0.59,30.9,28.5,2.35,0.29,0.0,10.0,0.29,1.18,0.0,0.0,0.0,0.0,21.8,5.0,4.12,13.2,14.4,1.18,2.06,0.0,21.8,0.0,0.59,2.06,2.06,2.06,1.47,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,2.94,1.47,2.65,1.76,2.35,5.0,47.1,2.65,27.1,9.41,34.8,4.41,14.7,7.94,3.82,0.0,0.0,3.82,1.47,7.35,0.59,0.0,50.9,0.88,8.24,24.1,20.9,3.82,48.2,1.18,1.47,80.0,1.18,0.0,29.7,127.4,66.5,4.41,1.18,0.88,3.24,3.24,34.7,26.2,75.4,6.47,0.59,0.0,0.0,2.35,1.76,0.0,1.18,2.94,0.0,0.0,0.0,8.82,0.0,2.06,0.0
2856,Marius Wolf,GER,DFFW,Dortmund,Bundesliga,27.0,1995,27,15,1321,14.7,0.2,1.43,0.68,47.6,0.14,0.3,15.6,0.0,0.0,0.0,39.0,50.1,77.9,649.7,218.0,18.4,21.6,85.5,16.3,19.4,83.9,3.13,6.12,51.1,0.07,0.75,2.52,0.82,0.14,4.35,50.1,43.9,6.12,0.75,0.14,8.23,0.82,1.77,0.07,0.0,0.0,0.0,35.0,8.84,6.19,2.86,40.3,0.88,5.31,0.2,39.0,0.14,0.61,2.18,2.04,1.97,1.36,0.0,0.14,0.34,0.14,0.0,0.34,0.2,0.0,0.07,0.0,0.07,0.0,1.5,0.82,0.82,0.48,0.2,0.61,1.77,34.6,1.16,18.2,5.24,28.7,5.51,8.03,4.69,1.43,0.07,0.0,1.36,1.77,3.27,0.41,0.0,60.8,1.56,13.7,30.3,20.6,3.54,54.8,0.82,2.11,38.7,0.95,0.2,39.3,169.2,102.9,5.17,1.77,0.88,0.75,1.43,49.7,41.7,83.9,4.63,0.27,0.0,0.0,1.22,1.16,0.27,1.77,0.82,0.07,0.0,0.0,6.46,0.61,1.36,31.0
2478,Francisco Sierralta,CHI,DF,Watford,Premier League,25.0,1997,5,5,427,4.7,0.0,0.21,0.21,100.0,0.0,0.0,9.0,0.0,0.0,0.0,30.4,36.0,84.6,740.0,199.8,4.26,4.68,90.9,17.9,18.9,94.4,7.66,11.5,66.7,0.0,0.0,0.64,0.0,0.0,0.64,36.0,34.9,1.06,1.06,0.0,3.62,1.06,0.0,0.0,0.0,0.0,0.0,26.0,1.7,8.3,3.62,29.1,1.7,0.0,0.0,30.4,0.21,0.85,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.85,1.28,0.0,0.0,1.06,1.7,62.5,0.64,5.11,2.13,41.7,3.83,1.28,0.0,1.91,0.43,0.0,1.49,2.98,4.26,8.51,0.0,51.9,14.0,40.6,13.2,0.43,0.43,50.9,0.21,0.21,100.0,0.21,0.0,25.7,111.1,53.4,0.21,0.0,0.0,0.43,0.21,28.5,27.9,97.8,0.0,0.0,0.0,0.0,1.06,0.43,0.0,0.0,0.85,0.0,0.0,0.21,7.02,3.83,0.85,81.8
2789,Luca Vignali,ITA,DF,Spezia,Serie A,26.0,1996,2,1,85,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,56.7,82.4,857.8,166.7,17.8,17.8,100.0,26.7,28.9,92.3,2.22,5.56,40.0,0.0,0.0,1.11,0.0,0.0,1.11,56.7,45.6,11.1,1.11,0.0,6.67,1.11,2.22,0.0,0.0,0.0,0.0,34.4,15.6,6.67,5.56,40.0,1.11,10.0,0.0,46.7,0.0,0.0,1.11,3.33,1.11,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,1.11,0.0,1.11,0.0,0.0,4.44,0.0,4.44,12.2,2.22,18.2,4.44,3.33,4.44,0.0,0.0,0.0,0.0,1.11,2.22,2.22,0.0,65.6,2.22,26.7,26.7,14.4,0.0,54.4,1.11,1.11,100.0,1.11,0.0,34.4,110.0,51.1,2.22,0.0,0.0,1.11,2.22,48.9,41.1,84.1,3.33,0.0,0.0,0.0,0.0,0.0,1.11,2.22,1.11,0.0,0.0,0.0,6.67,1.11,3.33,25.0
1647,Javier Manquillo,ESP,DF,Newcastle Utd,Premier League,28.0,1994,19,15,1257,14.0,0.07,0.29,0.14,50.0,0.25,0.5,15.5,0.0,0.0,0.0,21.3,29.0,73.4,303.0,123.6,12.5,14.5,86.2,6.71,9.43,71.2,1.07,3.0,35.7,0.14,0.29,1.0,0.14,0.0,1.21,29.0,21.9,7.07,0.07,0.0,3.57,0.21,0.71,0.0,0.0,0.0,0.0,14.8,7.57,6.64,2.0,17.6,1.64,7.0,0.29,21.3,0.07,0.71,1.64,0.86,0.64,0.57,0.0,0.0,0.0,0.07,0.0,0.29,0.21,0.0,0.0,0.0,0.07,0.0,2.93,1.71,1.93,0.71,0.29,1.36,2.57,52.8,1.21,12.5,4.0,32.0,7.14,3.29,2.07,2.0,0.43,0.0,1.57,1.64,4.57,2.07,0.0,39.4,4.36,15.9,15.5,9.79,0.79,32.5,0.57,0.86,66.7,0.57,0.0,18.5,82.0,36.9,1.36,0.57,0.07,0.64,0.5,19.1,16.0,83.6,1.29,0.36,0.0,0.0,0.57,1.29,0.07,0.71,1.71,0.0,0.0,0.0,7.14,1.14,1.07,51.6
2377,Oihan Sancet,ESP,FW,Athletic Club,La Liga,22.0,2000,27,16,1422,15.8,0.38,1.96,0.89,45.2,0.19,0.43,14.2,0.0,0.0,0.0,22.5,29.2,77.2,347.3,76.8,12.3,14.6,84.3,7.28,9.87,73.7,1.58,2.47,64.1,0.25,1.52,2.09,1.46,0.13,2.85,29.2,28.4,0.76,0.06,0.19,6.96,0.57,0.63,0.06,0.0,0.0,0.0,21.7,3.48,3.99,2.59,24.2,0.95,0.19,0.51,22.5,0.06,0.82,1.71,0.82,3.54,2.34,0.06,0.25,0.32,0.19,0.38,0.38,0.25,0.0,0.06,0.0,0.0,0.06,1.14,0.7,0.19,0.63,0.32,0.25,0.44,57.1,0.19,17.1,4.87,28.5,1.27,6.96,8.86,0.57,0.06,0.0,0.51,0.44,1.58,0.7,0.0,43.3,0.82,2.85,20.6,23.0,5.25,42.6,1.2,2.22,54.3,1.39,0.06,32.0,148.8,73.4,4.94,1.96,0.89,2.97,3.54,50.1,35.1,70.0,11.6,0.13,0.0,0.0,1.33,1.9,0.32,0.63,0.7,0.0,0.0,0.0,3.99,1.01,2.78,26.7
